Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,107.010002,107.029999,104.820000,105.260002,101.339394,40635300
2016-01-04,102.610001,105.370003,102.000000,105.349998,101.426033,67649400
2016-01-05,105.750000,105.849998,102.410004,102.709999,98.884369,55791000
2016-01-06,100.559998,102.370003,99.870003,100.699997,96.949242,68457400
2016-01-07,98.680000,100.129997,96.430000,96.449997,92.857529,81094400
2016-01-08,98.550003,99.110001,96.760002,96.959999,93.348541,70798000
2016-01-11,98.970001,99.059998,97.339996,98.529999,94.860062,49739400
2016-01-12,100.550003,100.690002,98.839996,99.959999,96.236794,49154200
2016-01-13,100.320000,101.190002,97.300003,97.389999,93.762527,62439600
2016-01-14,97.959999,100.480003,95.739998,99.519997,95.813171,63170100
2016-01-15,96.199997,97.709999,95.360001,97.129997,93.512207,79010000
2016-01-19,98.410004,98.650002,95.500000,96.660004,93.059715,53087700
2016-01-20,95.099998,98.190002,93.419998,96.790001,93.184875,72334400
2016-01-21,97.059998,97.879997,94.940002,96.300003,92.713127,52161500
2016-01-22,98.629997,101.459999,98.370003,101.419998,97.642410,65800500
2016-01-25,101.519997,101.529999,99.209999,99.440002,95.736160,51794500
2016-01-26,99.930000,100.879997,98.070000,99.989998,96.265678,75077000
2016-01-27,96.040001,96.629997,93.339996,93.419998,89.940399,133369700
2016-01-28,93.790001,94.519997,92.389999,94.089996,90.585442,55678800
2016-01-29,94.790001,97.339996,94.349998,97.339996,93.714378,64416500
2016-02-01,96.470001,96.709999,95.400002,96.430000,92.838287,40943500
2016-02-02,95.419998,96.040001,94.279999,94.480003,90.960915,37357200
2016-02-03,95.000000,96.839996,94.080002,96.349998,92.761269,45964300
2016-02-04,95.860001,97.330002,95.190002,96.599998,93.506599,46471700
2016-02-05,96.519997,96.919998,93.690002,94.019997,91.009224,46418100
2016-02-08,93.129997,95.699997,93.040001,95.010002,91.967522,54021400
2016-02-09,94.290001,95.940002,93.930000,94.989998,91.948151,44331200
2016-02-10,95.919998,96.349998,94.099998,94.269997,91.251221,42343600
2016-02-11,93.790001,94.720001,92.589996,93.699997,90.699478,50074700
2016-02-12,94.190002,94.500000,93.010002,93.989998,90.980186,40351400
2016-02-16,95.019997,96.849998,94.610001,96.639999,93.545326,49057900
2016-02-17,96.669998,98.209999,96.150002,98.120003,94.977928,44863200
2016-02-18,98.839996,98.889999,96.089996,96.260002,93.177498,39021000
2016-02-19,96.000000,96.760002,95.800003,96.040001,92.964539,35374200
2016-02-22,96.309998,96.900002,95.919998,96.879997,93.777634,34280800
2016-02-23,96.400002,96.500000,94.550003,94.690002,91.657768,31942600
2016-02-24,93.980003,96.379997,93.320000,96.099998,93.022614,36255700
2016-02-25,96.050003,96.760002,95.250000,96.760002,93.661484,27582700
2016-02-26,97.199997,98.019997,96.580002,96.910004,93.806679,28991100
2016-02-29,96.860001,98.230003,96.650002,96.690002,93.593727,35216300
2016-03-01,97.650002,100.769997,97.419998,100.529999,97.310738,50407100
2016-03-02,100.510002,100.889999,99.639999,100.750000,97.523712,33169600
2016-03-03,100.580002,101.709999,100.449997,101.500000,98.249687,36955700
2016-03-04,102.370003,103.750000,101.370003,103.010002,99.711334,46055100
2016-03-07,102.389999,102.830002,100.959999,101.870003,98.607834,35828900
2016-03-08,100.779999,101.760002,100.400002,101.029999,97.794731,31561900
2016-03-09,101.309998,101.580002,100.269997,101.120003,97.881859,27201700
2016-03-10,101.410004,102.239998,100.150002,101.169998,97.930244,33513600
2016-03-11,102.239998,102.279999,101.500000,102.260002,98.985344,27408200
2016-03-14,101.910004,102.910004,101.779999,102.519997,99.237030,25076100
2016-03-15,103.959999,105.180000,103.849998,104.580002,101.231064,40067700
2016-03-16,104.610001,106.309998,104.589996,105.970001,102.576553,38303500
2016-03-17,105.519997,106.470001,104.959999,105.800003,102.411987,34420700
2016-03-18,106.339996,106.500000,105.190002,105.919998,102.528152,44205200
2016-03-21,105.930000,107.650002,105.139999,105.910004,102.518471,35502700
2016-03-22,105.250000,107.290001,105.209999,106.720001,103.302521,32444400
2016-03-23,106.480003,107.070000,105.900002,106.129997,102.731422,25703500
2016-03-24,105.470001,106.250000,104.889999,105.669998,102.286148,26133000
2016-03-28,106.000000,106.190002,105.059998,105.190002,101.821526,19411400
2016-03-29,104.889999,107.790001,104.879997,107.680000,104.231789,31190100
2016-03-30,108.650002,110.419998,108.599998,109.559998,106.051590,45601100
2016-03-31,109.720001,109.900002,108.879997,108.989998,105.499840,25888400
2016-04-01,108.779999,110.000000,108.199997,109.989998,106.467812,25874000
2016-04-04,110.419998,112.190002,110.269997,111.120003,107.561630,37356200
2016-04-05,109.510002,110.730003,109.419998,109.809998,106.293571,26578700
2016-04-06,110.230003,110.980003,109.199997,110.959999,107.406754,26404100
2016-04-07,109.949997,110.419998,108.120003,108.540001,105.064262,31801900
2016-04-08,108.910004,109.769997,108.169998,108.660004,105.180405,23581700
2016-04-11,108.970001,110.610001,108.830002,109.019997,105.528870,29407500
2016-04-12,109.339996,110.500000,108.660004,110.440002,106.903404,27232300
2016-04-13,110.800003,112.339996,110.800003,112.040001,108.452171,33257300
2016-04-14,111.620003,112.389999,111.330002,112.099998,108.510239,25473900
2016-04-15,112.110001,112.300003,109.730003,109.849998,106.332298,46939000
2016-04-18,108.889999,108.949997,106.940002,107.480003,104.038185,60834000
2016-04-19,107.879997,108.000000,106.230003,106.910004,103.486450,32384900
2016-04-20,106.639999,108.089996,106.059998,107.129997,103.699394,30611000
2016-04-21,106.930000,106.930000,105.519997,105.970001,102.576553,31552500
2016-04-22,105.010002,106.480003,104.620003,105.680000,102.295830,33683100
2016-04-25,105.000000,105.650002,104.510002,105.080002,101.715050,28031600
2016-04-26,103.910004,105.300003,103.910004,104.349998,101.008415,56016200
2016-04-27,96.000000,98.709999,95.680000,97.820000,94.687538,114602100
2016-04-28,97.610001,97.879997,94.250000,94.830002,91.793282,82242700
2016-04-29,93.989998,94.720001,92.510002,93.739998,90.738197,68531500
