name,ageable,alcohol_%,avg_rating_%,color,description,drink_now,keep_2_3_years,n_votes,price,tags,url,year
Rossiu di Munte - Syrah & Traminer 2009,True,13.0,83,Ερυθρός,"Βαθύχρωμο με μπλε ανταύγειες. Αρωματικά διακρίνουμε τόσο τον φρουτώδη χαρακτήρα του Syrah όσο και τα αρώματα λουλουδιών του Traminer. Το βαρέλι είναι διακριτικό. Ξεχωρίζει για την πολύ καλή δομή του, την ισορροπία του και την μακράς διάρκειας επίγευση.",False,False,6,18.8,"['Ήπιος', 'Traminer', 'Ξηρός', 'Syrah']",http://www.houseofwine.gr/how/rossiu-di-munte-syrah-traminer.html,2009.0
Κτήμα Αργυρού Ασύρτικο 2016,True,14.0,86,Λευκός,"Όμορφη και τυπική ετικέτα Σαντορίνη ΟΠΑΠ, από ένα από τα πολύ ποιοτικά οινοποιεία του νησιού. Διακρίνεται για την ισορροπημένη δομή του, η οποία απογειώνεται από την δυνατή οξύτητα της ποικιλίας.",False,False,14,21.0,"['Ήπιος', 'Ξηρός', 'Ασύρτικο']",http://www.houseofwine.gr/how/ktima-argyrou-leykos.html,2016.0
Greywacke - Sauvignon Blanc  2016,False,13.5,86,Λευκός,"Ένα καταπληκτικό Νεοζηλανδέζικο Sauvignon,  για το οποίο η Jancis Robinson twittare: ‘δεν μπορώ να σκεφτώ Sauvignon από το Marlborough, που να με εντυπωσίασε περισσότερο από το Greywacke’. Ο οινοποιός Kevin Judd - δημιουργός του Cloudy Bay - αποτυπώνει έξοχα στο κρασί του, το χαρακτηριστικό στυλ της συγκεκριμένης περιοχής.",False,False,14,18.1,"['Ήπιος', 'Sauvignon Blanc', 'Ξηρός']",http://www.houseofwine.gr/how/greywacke-sauvignon-blanc.html,2016.0
Dom Perignon Brut  2006,True,12.5,,Λευκός,"Αριστοκρατική Σαμπάνια που αποπνέει πολυτέλεια και φινέτσα με την πρώτη κιόλας γουλιά. Ώριμα αρώματα, μεστό γευστικό προφίλ στο στόμα και φινετσάτος αφρισμός παράγουν μία Σαμπάνια με μεγάλη δυνατότητα εξέλιξης για όποιον αντισταθεί στον πειρασμό να την ανοίξει.",False,False,,162.4,"['Pinot Noir', 'Chardonnay', 'Ξηρός', 'Αφρώδης']",http://www.houseofwine.gr/how/dom-perignon-brut-horis-kouti.html,2006.0
Karanika Brut Rose 2016,True,5.0,89,Ροζέ,"Το Ροζέ αφρώδες του Λόρενς Χάρτμαν έρχεται να συμπληρώσει τη γκάμα με τα αφρώδη του κτήματος. Επιμένωντας στην παραδοσιακή μέθοδο που χρησιμοποιείται στη Καμπανία και με πρώτη ύλη το πολυδύναμο Ξινόμαυρο, το κρασί διαθέτει πολυπλοκότητα αλλά και λίγα παραπάνω υπολειμματικά σάκχαρα που το κάνουν πιο εμπορικό σε σχέση με το λευκό αδερφάκι του.",False,False,14,16.9,"['Ξηρός', 'Ξινόμαυρο', 'Αφρώδης', '12']",http://www.houseofwine.gr/how/karanika-brut-rose.html,2016.0
Cloudy Bay - Te Koko 2012,True,14.0,,Λευκός,"Εκλεπτυσμένο στυλ, ίσως πιο κοντά σε ένα λευκό Bordeaux παρά στο φρέσκο, φυτικό, για κάποιους πλέον βαρετό, στυλ της Νέας Ζηλανδίας. Το Te Koko αποτελεί την ναυαρχίδα του ιστορικού Cloudy Bay και ισορροπεί ανάμεσα στο φρούτο και το συγκρατημένο βαρέλι. Ένα κρασί εκφραστικό, αρμονικό, κομψό που αναδεικνύει την άλλη όψη των Sauvignon Blanc της Νέας Ζηλανδίας.",False,False,,51.0,"['Ήπιος', 'Sauvignon Blanc', 'Ξηρός']",http://www.houseofwine.gr/how/cloudy-bay-te-koko.html,2012.0
Ηδύπνοος Merlot 2008,True,13.0,71,Ερυθρός,"Ένα ευγενές και ευκολόπιοτο ερυθρό από την Οινοποιία Συμεωνίδη. Τυπικά αρωματικό, βελούδινο στο στόμα και με όμορφη διάρκεια, ο Ηδύπνοος Merlot είναι ένα ευχάριστο ερυθρό κρασί για όλα τα γούστα και όλες τις ώρες.",False,False,8,12.0,"['Cabernet Sauvignon', 'Ήπιος', 'Ξηρός', 'Merlot']",http://www.houseofwine.gr/how/idypnoos-merlot.html,2008.0
Τετράμυθος Λευκό 2015,False,,81,Λευκός,"Ένας Ροδίτης από τους ορεινούς αμπελώνες της Αιγιαλείας που βγάζει όλα τα τυπικά χαρακτηριστικά της περιοχής και της ταπεινής, αλλά χαρισματικής αυτής ποικιλίας. Κρασί με εξαιρετική σχέση τιμής ποιότητας που μπορεί να συνοδεύσει το καθημερινό μας τραπέζι.",True,False,7,8.5,"['Ήπιος', 'Ξηρός', 'Ροδίτης']",http://www.houseofwine.gr/how/tetramythos-leyko.html,2015.0
Κτήμα Δύο Φίλοι - Pinot Noir 2014,True,13.0,80,Ερυθρός,"Μία καινούρια ερυθρή ετικέτα από το οινοποιείο ""Δύο Φίλοι"", που έχει ήδη συζητηθεί πολύ. Πληθωρικό, γεμάτο, τανικό και με υψηλό αλκοόλ, ""ανταλλάζει"" κάποια από τα τυπικά κομψά στοιχεία της ποικιλίας του Pinot Noir προκειμένου να αποκτήσει ένα πιο ""ζόρικο"" προφίλ, καθώς και χρόνια παλαίωσης.",False,False,7,14.9,"['Pinot Noir', 'Ήπιος', 'Ξηρός']",http://www.houseofwine.gr/how/ktima-dyo-filoi-pinot-noir.html,2014.0
Granatus 2016,False,,,Ροζέ,"Ο Βασίλης Παπαγιαννάκος είναι ο παραγωγός που άλλαξε την ‘ρότα’ ενός ταλαιπωρημένου αμπελώνα, αυτού της Αττικής. Η περιοχή έχει ανακτήσει την φήμη της και συγκαταλέγεται πια, στις σπουδαιότερες οινοπαραγωγικές περιοχές της χώρας. Το αποδεικνύει άλλωστε και αυτό το μοντέρνο, ζουμερό και ευωδιαστό ροζέ κρασί!",True,False,,10.4,"['Cabernet Sauvignon', 'Ήπιος', 'Αγιωργίτικο', 'Ξηρός']",http://www.houseofwine.gr/how/granatus.html,2016.0
Κτήμα Σπυρόπουλου - Syrah 2012,True,13.0,,Ερυθρός,"Οι Έλληνες καταναλωτές φαίνεται ότι ‘αγαπάνε’ ιδιαιτέρως το Syrah και οι παραγωγοί ανταποκρίνονται φυτεύοντας την σπουδαία Γαλλική ποικιλία σε όλη την επικράτεια. Από ένα μικρό κομμάτι του αμπελώνα της Μαντινείας, το βιολογικής καλλιέργειας Syrah, έδωσε ‘πικάντικη’, ‘ζουμερή’ πρώτη ύλη, την οποία η φροντισμένη οινοποίηση αξιοποίησε στο έπακρο.  Syrah (σι-ρά) σας να το δοκιμάσετε…",False,False,,15.1,"['Ήπιος', 'Ξηρός', 'Syrah']",http://www.houseofwine.gr/how/ktima-spyropoulou-syrah.html,2012.0
Château Pichon-Lalande 2009,True,13.0,,Ερυθρός,"Ένα εντυπωσιακό Μπορντωλέζικο ερυθρό με... ""γαλαζοαίματη"" καταγωγή. Ένα από τα πιο γνωστά (και χαρακτηριστικά) chateaux του Μπορντώ μας χαρίζει ένα κρασί με εξαιρετικά ενδιαφέρουσα μύτη, σύνθετο στόμα και μεγάλη διάρκεια. Τίποτα περισσότερο δηλαδή, από όσα θα περίμενε κανείς από ένα κρασί της κλάσης του!",False,False,,316.4,"['Cabernet Sauvignon', 'Ήπιος', 'Petit Verdot', 'Ξηρός', 'Merlot', 'Cabernet Franc']",http://www.houseofwine.gr/how/chateau-pichon-lalande-2eme-grand-cru.html,2009.0
Πλαγιές Γερακιών Ροζέ Magnum 2016,False,13.0,94,Ροζέ,"Νέα έκφραση στη σπάνια Μαυροκουντούρα δίνει ο Απόστολος Μούντριχας, με τις ολοκαίνουριες ροζέ Πλαγιές Γερακιών. Έντονη εκφραστική μύτη, πολύ τραγανό, φρέσκο κόκκινο φρούτο τόσο στη μύτη όσο και στο στόμα και μια συνολική ισορροπία φρούτου-οξύτητας που χαρίζει στο κρασί απολαυστική διάσταση. Η magnum φιάλη δε, χαρίζει από τη μεριά της και έντονο lifestyle χαρακτήρα στο κρασί.",True,False,17,22.3,"['Ήπιος', 'Μαυροκουντούρα', 'Ξηρός']",http://www.houseofwine.gr/how/plagies-gerakion-roze-magnum.html,2016.0
Unico 2007,True,13.5,,Ερυθρός,"Ένας μύθος στα ποτήρια μας. Ένα πραγματικά σπάνιο ερυθρό κρασί που εντυπωσιάζει με την γεμάτη θέρμη μύτη του, την αρωματική πολυπλοκότητα στο στόμα, τις πλούσιες τανίνες και τη βασανιστικά μακρά επίγευσή του. Τελικά τίποτα σε αυτό τον κόσμο δεν είναι τυχαίο...",False,False,,306.5,"['Cabernet Sauvignon', 'Ήπιος', 'Ξηρός']",http://www.houseofwine.gr/how/unico.html,2007.0
Κτήμα Γεροβασιλείου - Ερυθρός Magnum 2011,True,13.5,,Ερυθρός,"Ποιοτικό ερυθρό παλαίωσης από τον Βαγγέλη Γεροβασιλείου, βασισμένο σε χαρμάνι ποικιλιών τις οποίες γνωρίζει όσο λίγοι. Καπνιστά και πικάντικα αρώματα στη μύτη και το στόμα, σοβαρές τανίνες και σωστή οξύτητα, που καταλήγουν σε μία όμορφη και μακρά επίγευση, είναι τα βασικά χαρακτηριστικά του πολύ καλού αυτού Ελληνικού ερυθρού.",False,False,,36.0,"['Ήπιος', 'Ξηρός', 'Merlot', 'Grenache Rouge', 'Syrah']",http://www.houseofwine.gr/how/ktima-gerovasileiou-erythros-magnum.html,2011.0
Laurent Perrier Brut - Magnum,True,12.0,,Λευκός,"Εκλεκτή λευκή Σαμπάνια από έναν εκ των πλέον φημισμένων οίκων της περιοχής. Η έμφαση στο Chardonnay χαρίζει φρέσκα λεμονάτα αρώματα, ενώ ο αφρισμός είναι προσεγμένος και με διάρκεια.",False,False,,89.4,"['Pinot Noir', 'Chardonnay', 'Pinot Meunier', 'Ξηρός', 'Αφρώδης']",http://www.houseofwine.gr/how/laurent-perrier-brut-magnum.html,
Emphasis - Syrah Magnum 2012,True,15.0,,Ερυθρός,"Ένα πολύ καλό Syrah που θα ενθουσιάσει τους φίλους της ποικιλίας. Πικάντικο στη μύτη και απολαυστικά δυνατό στο στόμα, με καλή ισορροπία τανινών και οξύτητας και τσιμπημένο αλκοόλ, που όμως δεν προβληματίζει. Χωρίς αμφιβολία, είναι Syrah παλαίωσης.",False,False,,40.7,"['Ήπιος', 'Ξηρός', 'Syrah']",http://www.houseofwine.gr/how/emphasis-syrah-magnum.html,2012.0
Pintia 2011,True,15.0,,Ερυθρός,"Πλούσιο, δυνατό Ισπανικό ερυθρό από… τζάκι. Θέρμη, συμπύκνωση, πλούσια αρώματα και γεμάτες τανίνες. Με λίγα λόγια, το Tempranillo στα καλύτερά του!",False,False,,48.6,"['Ήπιος', 'Tempranillo', 'Ξηρός']",http://www.houseofwine.gr/how/pintia.html,2011.0
Deutz Brut Classic,False,12.0,,Λευκός,"Φίνα λευκή Σαμπάνια από έναν από τους πλέον ποιοτικούς boutique οίκους που έρχονται στην Ελλάδα. Αναδύει όμορφα αρώματα φρεσκοψημένου μπισκότου στη μύτη, τα οποία γίνονται παιχνιδιάρικα και λεμονάτα στο στόμα, ενώ ο αφρισμός του είναι ευγενικός και μακρύς.",False,True,,44.3,"['Pinot Noir', 'Chardonnay', 'Pinot Meunier', 'Ξηρός', 'Αφρώδης']",http://www.houseofwine.gr/how/deutz-brut-classic.html,
