城市,AQI,级别,首要污染物
乌兰察布市,64,良,O3
兴安盟,28,优,
锡林郭勒盟,34,优,
阿拉善盟,69,良,O3
沈阳市,47,优,
大连市,81,良,O3
瓦房店市,53,良,PM10
鞍山市,61,良,O3
抚顺市,49,优,
本溪市,50,优,
丹东市,70,良,O3
锦州市,60,良,PM10
营口市,69,良,O3
阜新市,43,优,
辽阳市,55,良,O3
盘锦市,49,优,
铁岭市,49,优,
朝阳市,56,良,PM10
葫芦岛市,58,良,PM10
长春市,43,优,
吉林市,47,优,
四平市,52,良,O3
辽源市,77,良,O3
通化市,74,良,O3
白山市,70,良,PM10
松原市,30,优,
白城市,43,优,
延边州,72,良,O3
哈尔滨市,52,良,"NO2,PM10"
齐齐哈尔市,39,优,
鸡西市,47,优,
鹤岗市,34,优,
双鸭山市,37,优,
大庆市,41,优,
伊春市,26,优,
佳木斯市,35,优,
七台河市,58,良,PM10
牡丹江市,39,优,
黑河市,32,优,
绥化市,45,优,
大兴安岭地区,34,优,
上海市,135,轻度污染,O3
南京市,100,良,O3
无锡市,88,良,PM2.5
江阴市,112,轻度污染,PM2.5
宜兴市,113,轻度污染,PM2.5
徐州市,108,轻度污染,O3
常州市,95,良,PM2.5
溧阳市,88,良,PM2.5
金坛市,82,良,PM2.5
苏州市,88,良,PM2.5
常熟市,97,良,PM2.5
张家港市,104,轻度污染,PM2.5
昆山市,119,轻度污染,PM2.5
吴江市,113,轻度污染,O3
太仓市,102,轻度污染,PM2.5
南通市,101,轻度污染,NO2
海门市,97,良,PM2.5
连云港市,77,良,PM2.5
淮安市,97,良,PM2.5
盐城市,149,轻度污染,PM2.5
扬州市,129,轻度污染,PM2.5
镇江市,152,中度污染,PM2.5
句容市,102,轻度污染,PM2.5
泰州市,149,轻度污染,PM2.5
宿迁市,99,良,O3
杭州市,169,中度污染,O3
富阳市,112,轻度污染,PM2.5
临安市,98,良,PM2.5
宁波市,102,轻度污染,O3
温州市,116,轻度污染,O3
嘉兴市,138,轻度污染,O3
湖州市,114,轻度污染,O3
金华市,116,轻度污染,O3
义乌市,118,轻度污染,O3
衢州市,115,轻度污染,O3
舟山市,126,轻度污染,O3
台州市,120,轻度污染,O3
丽水市,103,轻度污染,O3
绍兴市,145,轻度污染,O3
合肥市,85,良,PM2.5
芜湖市,79,良,PM2.5
蚌埠市,100,良,PM2.5
淮南市,107,轻度污染,PM2.5
马鞍山市,87,良,"PM10,PM2.5"
淮北市,114,轻度污染,PM2.5
铜陵市,90,良,NO2
安庆市,84,良,PM2.5
黄山市,60,良,PM10
滁州市,106,轻度污染,O3
阜阳市,98,良,PM10
宿州市,98,良,PM2.5
六安市,66,良,PM10
亳州市,94,良,PM2.5
池州市,69,良,PM2.5
宣城市,60,良,PM10
福州市,101,轻度污染,O3
厦门市,77,良,O3
莆田市,115,轻度污染,O3
三明市,91,良,O3
泉州市,100,良,O3
漳州市,126,轻度污染,O3
南平市,95,良,O3
龙岩市,85,良,O3
宁德市,110,轻度污染,O3
南昌市,78,良,PM10
景德镇市,68,良,PM10
萍乡市,100,良,O3
