"id","weibo_id","weibo_cont","weibo_img","weibo_video","repost_num","comment_num","praise_num","uid","is_origin","device","weibo_url","create_time","comment_crawled","repost_crawled"
"925","4172596549163332","【SpaCy 2.0 released (Natural Language Processing with Python)】网页链接 SpaCy 2.0发布(使用Python进行自然语言处理)。 ​","https://wx1.sinaimg.cn/thumbnail/663aa05agy1flc5t6hnmmj20jh0qnq74.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"14","4","11","1715118170","1","微博 weibo.com","//weibo.com/1715118170/FuszcCrNG?refer_flag=1001030103_","2017-11-10 18:00","0","0"
"926","4172579050440839","#IT技术分享#Python学习干货，先马后看！ 1【精通Python爬虫-01】网页链接2【精通Python爬虫-02】网页链接3【Python高级编程技巧】网页链接4【Python分布式爬虫搭建搜索引擎】网页链接5【小说+干货Python的十大神器】网页链接 ​","https://wx2.sinaimg.cn/thumbnail/c5131475ly1fkuwebcunej20740743yd.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"49","18","43","3306361973","1","微博 weibo.com","//weibo.com/3306361973/Fus6Z1QGj?refer_flag=1001030103_","2017-11-10 16:50","0","0"
"927","4172538340462869","《使用 Gc、Objgraph 干掉 Python 内存泄露与循环引用》本文首选是简单介绍了python的内存管理，重点介绍了引用计数与垃圾回收，然后阐述Python中内存泄露与循环引用产生的原因与危害，最后是利用gc、objgraph、weakref等工具来分析并解决内存泄露、循环引用问题。网页链接（by xybaby) ​","https://wx4.sinaimg.cn/thumbnail/005N3SJDly1flcyiqa8a7j30dc0dcaa4.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"13","4","14","5305630013","1","微博 weibo.com","//weibo.com/5305630013/Fur3k1WpD?refer_flag=1001030103_","2017-11-10 14:08","0","0"
"928","4172526001035967","算是自己编的第一个Python Script,纪念一下，光棍节最好的，弥补了没有对象的不开心#花点钱怎么了##猫晚# 会Python的生物民工里边，丑CUO的单身狗 ​","https://wx3.sinaimg.cn/thumbnail/96a2b9c9ly1flcx26vo1lg20cm0gg1kx.gif;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"0","1","5","2527246793","1","金立智能手机","//weibo.com/2527246793/FuqJq4lv9?refer_flag=1001030103_","2017-11-10 13:19","0","0"
"929","4172519726423069","Coursera上多伦多大学的编程入门课程""Learn to Program: The Fundamentals"" 新一轮将于11月20开课 O网页链接 ，不过现在注册已经可以学习所有内容，该课程以Python语言传授编程入门知识，实为零基础的Python入门课程。感兴趣的同学可以参考早期的课程评论 ：O网页链接 ，这是之前一个同学的评价“两个老师语速都偏慢，讲解细致，又有可视化工具Python Visualizer用于详细了解程序具体执行步骤，可以说是零基础学习python编程的最佳选择。”",,,"12","3","3","3369755644","1","微博 weibo.com","//weibo.com/3369755644/FuqziqWVT?refer_flag=1001030103_","2017-11-10 12:54","0","0"
"930","4172513502427376","为什么用 Java：一个 Python 程序员告诉你 网页链接 ​","https://wx4.sinaimg.cn/thumbnail/bf1b7d04gy1flc009ohwoj20sg0iyn4b.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"9","2","19","3206249732","1","微博 weibo.com","//weibo.com/3206249732/Fuqpgabte?refer_flag=1001030103_","2017-11-10 12:30","0","0"
"931","4172498402762219","【Don Jayamanne, creator of the Python extension for Visual Studio Code, joins Microsoft】网页链接 Visual Studio Code的Python插件的创建者Don Jayamanne加入了微软。Python extension for Visual Studio Code 源代码GitHub地址：网页链接 ​","https://ww4.sinaimg.cn/square/663aa05agy1flctg2icgxg20xc0m8e84.gif;https://ww3.sinaimg.cn/square/663aa05agy1flctg3446tg20xc0m8npg.gif;https://ww1.sinaimg.cn/square/663aa05agy1flctg2lxesg20xc0m84qs.gif",,"14","3","7","1715118170","1","微博 weibo.com","//weibo.com/1715118170/Fuq0UbAzV?refer_flag=1001030103_","2017-11-10 11:30","0","0"
"932","4172326545658464","Python还要学?  |武汉·东湖... ​","https://ww4.sinaimg.cn/square/e3043da0gy1flca0ttnlbj20qo141jx8.jpg;https://ww3.sinaimg.cn/square/e3043da0gy1flca0wof5mj20qo14911r.jpg;https://ww1.sinaimg.cn/square/e3043da0gy1flca0yfey5j21be0qowo2.jpg;https://ww4.sinaimg.cn/square/e3043da0gy1flca108idoj20qo0zkn2h.jpg;https://ww3.sinaimg.cn/square/e3043da0gy1flca11t821j20qo0zygr9.jpg;https://ww1.sinaimg.cn/square/e3043da0gy1flca13dzfkj20qo0zytdz.jpg;https://ww4.sinaimg.cn/square/e3043da0gy1flca14g22uj20qo1be44a.jpg;https://ww1.sinaimg.cn/square/e3043da0gy1flca15xow0j20qo0zkjx3.jpg;https://ww3.sinaimg.cn/square/e3043da0gy1flca18apxwj20zk0qotg8.jpg",,"0","10","5","3808705952","1","快充长续航魅蓝 Note5","//weibo.com/3808705952/FulxInK1y?refer_flag=1001030103_","2017-11-10 00:07","0","0"
"933","4172294652073009","【Python 开发者的 6 个必备库】无论你是正在使用 Python 进行快速开发，还是在为 Python 桌面应用制作原生 UI ，或者是在优化现有的 Python 代码，以下这些 Python 项目都是应该使用的。详见网页链接（来自：@开源中国） ​​​​","https://wx2.sinaimg.cn/thumbnail/612edf3aly1flc6j77rqqj20c836b4il.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"30","7","32","1630461754","1","皮皮时光机","//weibo.com/1630461754/FukIh8HhD?refer_flag=1001030103_","2017-11-09 22:00","0","0"
"934","4172275186642953","#张根硕2017the_crishow_Ⅳ_voyage# 我們家@张根硕 真是個節儉的小孩！！ 是最近在家無聊沒家做，翻轉了自己的衣帽間嗎？？ 除了 2012 年在日本穿過的超級破爛牛仔褲，還穿了 2015 年的鞋子！！ 來自【CHRISTIAN LOUBOUTIN。PURPLE RANTUS ORLATO PYTHON SNEAKERS】售價約為：HKD12,984 = RMB11,057！！","https://wx3.sinaimg.cn/thumbnail/692e81a0gy1flc4aiqlatj21ef1kwe81.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"32","4","35","1764655520","1","iPhone客戶端","//weibo.com/1764655520/FukcSrS8p?refer_flag=1001030103_","2017-11-09 20:43","0","0"
"935","4172272618855103","Coursera上的计算（机）基础专项课程（Fundamentals of Computing Specialization）新一轮将于11月13日开课 O网页链接 ，这个系列包括Python交互式编程设计，计算原理，算法思维等6门课程和1门毕业项目课程，目标是让学生像计算机科学家一样编程和思考（Learn how to program and think like a Computer Scientist），强烈推荐，感兴趣的同学可以关注 O网页链接",,,"21","4","7","3369755644","1","微博 weibo.com","//weibo.com/3369755644/Fuk8JB9Cf?refer_flag=1001030103_","2017-11-09 20:32","0","0"
"936","4172204746481850","至今对 Python 和 Ruby 没有任何好感，曾经还做过半年 Python Web 开发。口号虽然很好 “人生苦短，我用 Python ”，但实际上 Python 跟 Java 一样复杂，性能还不如 PHP 。而且为了所谓的优雅，牺牲了实用性。开发环境搭建、代码缩进问题、编码问题、日期时间计算光这 4 样就能让一个新手痛不欲生 ​",,,"30","24","24","1072494141","1","微博 weibo.com","//weibo.com/1072494141/FuingrcdY?refer_flag=1001030103_","2017-11-09 16:03","0","0"
"937","4172186345827656","#IT技术分享#【Python/大数据好课推荐】1、10小时入门大数据O网页链接2、Flask 构建微电影视频网站  O网页链接3、python操作三大主流数据库 O网页链接4、大数据Spark SQL慕课网日志分析  O网页链接5、Python分布式爬虫打造搜索引擎  O网页链接6、强力django+杀手级xadmin  O网页链接7、Python高级编程技巧实战  O网页链接8、Nginx从入门到实践 O网页链接【先领券再下单，最高可减100，帮你一省到底】：O网页链接","https://wx1.sinaimg.cn/thumbnail/c5131475ly1flbtsa6cf5j20dj0a5t90.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"30","14","27","3306361973","1","微博 weibo.com","//weibo.com/3306361973/FuhTAos2s?refer_flag=1001030103_","2017-11-09 14:50","0","0"
